VICIDIAL|GOOD|Thu, 22 Sep 2005 17:42:04 -0400|444|444|10.10.10.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6|Manager|
VICIDIAL|GOOD|Thu, 10 Nov 2005 15:03:08 -0500|444|444|10.10.6.1|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|Manager|
VICIDIAL|GOOD|Tue, 22 Nov 2005 15:02:45 -0500|6666|sales|10.10.6.1|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|test user|
VICIDIAL|GOOD|Tue, 22 Nov 2005 15:29:13 -0500|6666|sales|10.10.6.1|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|test user|
VICIDIAL|GOOD|Thu, 22 Dec 2005 17:05:59 -0500|123456|bob5|10.10.6.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|1 - MATT admin|
VICIDIAL|GOOD|Thu, 22 Dec 2005 17:06:07 -0500|123456|bob5|10.10.6.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|1 - MATT admin|
VICIDIAL|GOOD|Thu, 22 Dec 2005 17:06:10 -0500|123456|bob5|10.10.6.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|1 - MATT admin|
VICIDIAL|GOOD|Thu, 22 Dec 2005 17:06:33 -0500|123456|bob5|10.10.6.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|1 - MATT admin|
VICIDIAL|GOOD|Thu, 22 Dec 2005 17:06:38 -0500|123456|bob5|10.10.6.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|1 - MATT admin|
VICIDIAL|GOOD|Thu, 22 Dec 2005 17:09:05 -0500|123456|bob5|10.10.6.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|1 - MATT admin|
VICIDIAL|GOOD|Fri, 23 Dec 2005 14:39:34 -0500|123456|bob5|10.10.6.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|1 - MATT admin|
VICIDIAL|GOOD|Thu, 19 Jan 2006 15:38:10 -0500|123456|bob5|10.10.6.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Thu, 19 Jan 2006 15:38:13 -0500|123456|bob5|10.10.6.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Thu, 19 Jan 2006 15:38:14 -0500|123456|bob5|10.10.6.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 03 Mar 2006 16:14:23 -0500|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 03 Mar 2006 16:14:38 -0500|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 03 Mar 2006 16:14:55 -0500|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 17 Mar 2006 14:22:24 -0500|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 17 Mar 2006 14:22:27 -0500|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 17 Mar 2006 14:22:29 -0500|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 17 Mar 2006 14:59:52 -0500|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 17 Mar 2006 14:59:53 -0500|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Thu, 27 Apr 2006 17:03:08 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Thu, 27 Apr 2006 17:34:00 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Thu, 27 Apr 2006 17:34:03 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Thu, 27 Apr 2006 18:00:32 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Thu, 27 Apr 2006 22:09:43 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Thu, 27 Apr 2006 22:12:38 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Thu, 27 Apr 2006 22:13:31 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Thu, 27 Apr 2006 22:13:43 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Thu, 27 Apr 2006 22:13:50 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Thu, 27 Apr 2006 22:13:53 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Thu, 27 Apr 2006 22:13:55 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Thu, 27 Apr 2006 22:13:57 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Thu, 27 Apr 2006 22:14:01 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Thu, 27 Apr 2006 22:18:08 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Thu, 27 Apr 2006 22:18:12 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Thu, 27 Apr 2006 23:40:33 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 28 Apr 2006 11:33:41 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 28 Apr 2006 11:33:43 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 28 Apr 2006 11:33:47 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 28 Apr 2006 11:33:49 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 28 Apr 2006 11:34:07 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 28 Apr 2006 11:34:20 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 28 Apr 2006 11:34:24 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 28 Apr 2006 11:34:26 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 28 Apr 2006 11:34:38 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 28 Apr 2006 11:34:46 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 28 Apr 2006 11:34:50 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Fri, 28 Apr 2006 11:35:52 -0400|123456|bob5|10.10.8.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
